Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2621,19560101,19691231,42,52.4045,13.2134,Kleinmachnow,Brandenburg
2627,19970101,20191231,128,51.5554,13.8845,Klettwitz,Brandenburg
2629,18510101,20191231,46,51.7612,6.0954,Kleve,Nordrhein-Westfalen
2638,19280101,20191231,974,48.1054,8.7548,Klippeneck,Baden-Württemberg
2641,19950101,20191231,85,51.5185,12.9065,Klitzschen bei Torgau,Sachsen
2654,19280101,19821231,200,49.0265,8.7554,Knittlingen,Baden-Württemberg
2657,19130101,20071231,85,50.3369,7.5992,Koblenz-Horchheim,Rheinland-Pfalz
2665,18510101,19841231,45,50.9615,6.9712,Köln-Botanischer Garten,Nordrhein-Westfalen
2667,19580101,20191231,92,50.8646,7.1575,Köln-Bonn,Nordrhein-Westfalen
2677,19460101,20001231,730,48.1413,8.4285,Königsfeld/Schwarzwald,Baden-Württemberg
2680,19480101,20191231,289,50.284,10.4456,"Königshofen, Bad",Bayern
2689,19500101,19601231,40,53.2279,9.6527,Königsmoor,Niedersachsen
2691,19950101,20081231,378,48.6707,11.2173,Königsmoos-Untermaxfeld,Bayern
2693,19410101,19881231,380,50.1855,8.4698,Königstein/Taunus,Hessen
2700,19470101,20191231,416,48.8302,11.4872,Kösching,Bayern
2701,19310101,20061231,136,51.1329,11.7252,"Kösen, Bad",Sachsen-Anhalt
2704,19000101,20191231,76,51.7511,12.0094,Köthen (Anhalt),Sachsen-Anhalt
2708,19920101,20191231,742,47.6652,11.0805,"Kohlgrub, Bad (Rosshof)",Bayern
2712,19470101,20191231,443,47.6774,9.19,Konstanz,Baden-Württemberg
2713,19470101,19741231,398,47.6605,9.1634,Konstanz (Stadtgärtnerei),Baden-Württemberg
2717,19900101,20051231,395,51.2662,8.8309,Korbach-Lengefeld,Hessen
2738,18820101,19951231,776,47.6447,11.7436,Kreuth,Bayern
2750,19490101,20191231,312,50.2523,11.3209,Kronach,Bayern
2757,19570101,19831231,238,47.9077,7.702,"Krozingen, Bad",Baden-Württemberg
2761,19500101,19891231,520,48.251,10.4163,Krumbach-Edenhausen,Bayern
2773,20010101,20181231,417,49.4283,11.9016,Kümmersbruck,Bayern
2775,19310101,19791231,225,49.2795,9.6925,Künzelsau,Baden-Württemberg
2780,19600101,19811231,330,50.1003,11.4494,Kulmbach,Bayern
2783,19670101,19911231,436,48.5126,12.1513,Kumhausen,Bayern
2790,18810101,19801231,296,49.5592,7.4134,Kusel-Fünfbirken,Rheinland-Pfalz
2794,18870101,20191231,40,52.9363,12.4093,Kyritz,Brandenburg
2796,20010101,20191231,40,53.9156,12.279,Laage (Flugplatz),Mecklenburg-Vorpommern
2812,19500101,20191231,156,48.3647,7.828,Lahr,Baden-Württemberg
2814,19490101,20191231,685,48.5121,9.7645,Merklingen,Baden-Württemberg
2821,19480101,19571231,214,51.9603,10.0157,Lamspringe,Niedersachsen
